d $-114.52, Open 0/20
[2026-06-22 02:34:06] Cycle done. Cap $4385.48, Realized $-114.52, Open 2/20
[2026-06-22 02:58:34] Cycle done. Cap $4385.48, Realized $-114.52, Open 2/20
[2026-06-22 03:14:27] Cycle done. Cap $4385.48, Realized $-114.52, Open 2/20
[2026-06-22 03:34:20] Cycle done. Cap $4385.48, Realized $-114.52, Open 2/20
[2026-06-22 03:53:50] Cycle done. Cap $4385.48, Realized $-114.52, Open 2/20
[2026-06-22 04:21:09] CLOSE NAORIS 1: SL pnl $-20.89 (-8.19%)
[2026-06-22 04:22:00] Cycle done. Cap $4614.60, Realized $-135.40, Open 1/20
[2026-06-22 04:42:45] OPEN JTO SHORT @ 0.6323, SL=0.647771, TP=0.591043
[2026-06-22 04:42:48] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 05:00:56] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 05:21:15] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 05:41:20] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 06:15:18] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 06:42:59] Cycle done. Cap $4364.60, Realized $-135.40, Open 2/20
[2026-06-22 07:09:52] CLOSE JTO -1: SL pnl $-6.53 (-2.45%)
[2026-06-22 07:09:55] Cycle done. Cap $4608.07, Realized $-141.93, Open 1/20
[2026-06-22 07:31:04] OPEN DOGS LONG @ 4.365e-05, SL=0.000043, TP=0.000046
[2026-06-22 07:31:33] CLOSE GUA -1: SL pnl $28.12 (11.41%)
[2026-06-22 07:32:38] Cycle done. Cap $4636.19, Realized $-113.81, Open 1/20
[2026-06-22 07:49:10] OPEN ALLO LONG @ 0.45768, SL=0.432984, TP=0.523537
[2026-06-22 07:50:39] Cycle done. Cap $4386.19, Realized $-113.81, Open 2/20
[2026-06-22 08:11:15] CLOSE ALLO 1: SL pnl $-20.85 (-8.18%)
[2026-06-22 08:11:34] CLOSE DOGS 1: SL pnl $-8.53 (-3.25%)
[2026-06-22 08:12:18] Cycle done. Cap $4856.81, Realized $-143.19, Open 0/20
[2026-06-22 08:30:34] OPEN ESPORTS SHORT @ 0.02582, SL=0.028019, TP=0.019957
[2026-06-22 08:32:10] Cycle done. Cap $4606.81, Realized $-143.19, Open 1/20
[2026-06-22 08:49:45] CLOSE ESPORTS -1: SL pnl $-33.32 (-13.17%)
[2026-06-22 08:51:41] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 09:15:34] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 09:37:13] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 09:58:10] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 10:23:44] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 10:45:54] Cycle done. Cap $4823.49, Realized $-176.51, Open 0/20
[2026-06-22 11:09:21] OPEN NIL LONG @ 0.04141, SL=0.040649, TP=0.043439
[2026-06-22 11:11:00] Cycle done. Cap $4573.49, Realized $-176.51, Open 1/20
[2026-06-22 11:34:20] OPEN GRASS LONG @ 0.4377, SL=0.428079, TP=0.463357
[2026-06-22 11:34:48] Cycle done. Cap $4323.49, Realized $-176.51, Open 2/20
[2026-06-22 11:56:42] Cycle done. Cap $4323.49, Realized $-176.51, Open 2/20
[2026-06-22 12:17:58] Cycle done. Cap $4323.49, Realized $-176.51, Open 2/20
[2026-06-22 12:40:08] CLOSE NIL 1: SL pnl $-5.77 (-2.15%)
[2026-06-22 12:42:01] Cycle done. Cap $4567.72, Realized $-182.28, Open 1/20
[2026-06-22 13:05:01] Cycle done. Cap $4567.72, Realized $-182.28, Open 1/20
[2026-06-22 13:28:51] OPEN BSB SHORT @ 0.31873, SL=0.327670, TP=0.294890
[2026-06-22 13:29:30] OPEN GUA SHORT @ 0.5446, SL=0.566071, TP=0.487343
[2026-06-22 13:30:11] Cycle done. Cap $4067.72, Realized $-182.28, Open 3/20
