ts,coin,action,direction,entry_price,sl,tp
2026-06-01T06:38:35.151578+00:00,IRYS,OPEN,-1,0.02238,0.022725000000000002,0.02146
2026-06-02T06:16:22.691586+00:00,IRYS,CLOSE,SL,0.02238,0.02307,-1,-8.10777479892761,-3.0831099195710436
2026-06-07T20:54:38.900687+00:00,BROCCOLIF3B,OPEN,1,0.005446,0.0049820714285714295,0.006683142857142856
